activity_id,deal_id,rep_id,activity_type,activity_date,duration_mins,outcome,notes,activity_month,is_positive
A000001,D00730,R002,Meeting,2023-02-25,60,No Response,Awaiting legal review,2023-02,False
A000002,D00283,R001,Follow-up,2024-12-18,60,No Response,Awaiting legal review,2024-12,False
A000003,D00362,R001,Call,2023-08-29,45,No Response,,2023-08,False
A000004,D00441,R002,Meeting,2024-08-25,90,Neutral,Budget approved,2024-08,False
A000005,D00093,R005,Proposal Sent,2024-05-05,45,Neutral,Sent pricing deck,2024-05,False
A000006,D00753,R002,Call,2023-06-13,90,Positive,Champion confirmed,2023-06,True
A000007,D00867,R005,Email,2024-04-21,15,Neutral,Sent pricing deck,2024-04,False
A000008,D00142,R005,Proposal Sent,2023-12-21,45,Neutral,,2023-12,False
A000009,D00749,R004,Call,2024-01-16,30,Positive,Budget approved,2024-01,True
A000010,D00653,R004,Call,2024-05-06,45,Positive,Awaiting legal review,2024-05,True
A000011,D00701,R004,Follow-up,2024-04-09,60,Neutral,Sent pricing deck,2024-04,False
A000012,D00998,R003,Email,2024-01-13,45,Negative,Awaiting legal review,2024-01,False
A000013,D00049,R003,Demo,2024-08-16,90,Negative,Stakeholder meeting set,2024-08,False
A000014,D00881,R002,Demo,2023-03-12,45,Neutral,Decision deferred,2023-03,False
A000015,D01160,R001,Meeting,2024-06-02,120,Neutral,Budget approved,2024-06,False
A000016,D00555,R005,Email,2023-04-24,15,Positive,,2023-04,True
A000017,D00404,R002,Call,2024-06-23,90,Neutral,Decision deferred,2024-06,False
A000018,D00892,R005,Call,2024-12-17,15,No Response,Awaiting legal review,2024-12,False
A000019,D00865,R002,Demo,2023-06-14,30,Positive,Budget approved,2023-06,True
A000020,D00602,R004,Proposal Sent,2024-07-27,30,Negative,Budget approved,2024-07,False
A000021,D00341,R005,Meeting,2024-06-17,90,Positive,Awaiting legal review,2024-06,True
A000022,D00704,R001,Demo,2023-03-29,15,Positive,Sent pricing deck,2023-03,True
A000023,D00318,R003,Email,2023-12-02,15,Positive,Decision deferred,2023-12,True
A000024,D00618,R002,Demo,2023-06-08,45,Positive,Budget approved,2023-06,True
A000025,D00382,R002,Follow-up,2023-01-11,30,Positive,Follow up scheduled,2023-01,True
A000026,D00233,R001,Follow-up,2023-10-01,60,Positive,Awaiting legal review,2023-10,True
A000027,D00817,R004,Call,2023-09-23,60,Positive,Awaiting legal review,2023-09,True
A000028,D00553,R005,Email,2024-06-06,30,Positive,Champion confirmed,2024-06,True
A000029,D00856,R003,Proposal Sent,2023-03-28,60,Neutral,Follow up scheduled,2023-03,False
A000030,D00819,R001,Email,2024-12-11,45,Positive,Follow up scheduled,2024-12,True
