month,deals_won,revenue,avg_deal,mom_growth_pct,rolling_3m_avg
2023-01,1,42590.6,42590.6,,
2023-02,4,225099.84,56274.96,428.5,
2023-03,4,247845.53,61961.38,10.1,171845.32
2023-04,6,664725.16,110787.53,168.2,379223.51
2023-05,5,403022.79,80604.56,-39.4,438531.16
2023-06,8,751949.31,93993.66,86.6,606565.75
2023-07,7,850724.99,121532.14,13.1,668565.7
2023-08,4,339965.07,84991.27,-60.0,647546.46
2023-09,5,489242.51,97848.5,43.9,559977.52
2023-10,5,63552.0,12710.4,-87.0,297586.53
2023-11,8,395141.87,49392.73,521.8,315978.79
2023-12,8,593689.12,74211.14,50.2,350794.33
2024-01,4,346543.45,86635.86,-41.6,445124.81
2024-02,2,87197.4,43598.7,-74.8,342476.66
2024-03,7,146546.22,20935.17,68.1,193429.02
2024-04,4,108655.79,27163.95,-25.9,114133.14
2024-05,2,84993.51,42496.76,-21.8,113398.51
2024-06,8,590840.78,73855.1,595.2,261496.69
2024-07,8,837021.68,104627.71,41.7,504285.32
2024-08,9,628819.79,69868.87,-24.9,685560.75
2024-09,2,171212.63,85606.32,-72.8,545684.7
2024-10,6,427226.17,71204.36,149.5,409086.2
2024-11,7,119594.73,17084.96,-72.0,239344.51
2024-12,15,937243.22,62482.88,683.7,494688.04
