company_id,company_name,industry,company_size,region,annual_revenue,churn_score,customer_ltv,created_date,is_active
C0001,Apex Technologies 001,RetailTech,11-50,Middle East & Africa,5000000.0,0.354,23002.63,2022-04-12,True
C0002,Cobalt Global 002,PropTech,11-50,Latin America,5000000.0,0.249,146313.45,2022-01-04,True
C0003,Nova Innovations 003,LegalTech,51-200,Europe,100000.0,0.416,479034.41,2022-06-22,True
C0004,Solara Ventures 004,LegalTech,51-200,Middle East & Africa,500000.0,0.16,405492.85,2022-08-24,True
C0005,Solara Technologies 005,HRTech,1000+,Middle East & Africa,50000000.0,0.55,187201.16,2022-04-09,True
C0006,Nexus Analytics 006,HRTech,1-10,Europe,50000000.0,0.111,59490.7,2022-05-23,True
C0007,Harbor Platforms 007,EdTech,51-200,APAC,100000.0,0.51,338385.84,2022-12-26,False
C0008,Quantum Technologies 008,EdTech,501-1000,Europe,100000.0,0.177,236507.5,2022-05-19,False
C0009,Quantum Global 009,RetailTech,1000+,APAC,50000000.0,0.198,386473.65,2022-01-29,True
C0010,Nexus Networks 010,PropTech,51-200,North America,100000.0,0.376,457436.7,2022-10-18,False
C0011,Stratos Digital 011,CyberSecurity,201-500,Latin America,100000.0,0.543,139791.28,2022-05-07,True
C0012,Redpoint Consulting 012,PropTech,501-1000,Latin America,500000.0,0.085,117467.17,2022-03-12,True
C0013,Orion Systems 013,HealthTech,11-50,Europe,50000000.0,0.358,343435.79,2022-11-02,True
C0014,Solara Data 014,CyberSecurity,501-1000,APAC,5000000.0,0.273,431782.05,2022-01-06,True
C0015,Vega Global 015,HRTech,1000+,APAC,,0.134,153815.06,2022-03-22,True
C0016,Ember Consulting 016,EdTech,501-1000,North America,50000000.0,0.353,316397.09,2022-11-24,True
C0017,Helix Group 017,LegalTech,11-50,Middle East & Africa,50000000.0,0.133,461992.7,2022-01-01,True
C0018,Irongate Solutions 018,HealthTech,51-200,APAC,100000.0,0.326,38383.33,2022-10-18,False
C0019,Orion Partners 019,HealthTech,501-1000,Europe,100000.0,0.166,333277.9,2022-10-09,True
C0020,Bluewave Data 020,PropTech,11-50,Middle East & Africa,50000000.0,0.208,367666.22,2022-04-13,True
C0021,Solara Platforms 021,CyberSecurity,501-1000,Latin America,,0.263,131473.75,2022-02-02,True
C0022,Horizon Global 022,RetailTech,501-1000,Europe,,0.39,44786.61,2022-11-20,True
C0023,Orion Systems 023,LegalTech,1-10,Middle East & Africa,100000.0,0.154,146453.86,2022-09-06,True
C0024,Atlas Cloud 024,CyberSecurity,11-50,Latin America,50000000.0,0.306,209459.38,2022-02-18,True
C0025,Lumex Platforms 025,PropTech,201-500,Latin America,50000000.0,0.203,367247.17,2022-12-11,True
C0026,Quantum Ventures 026,FinTech,201-500,APAC,50000000.0,0.184,432219.54,2022-05-08,True
C0027,Redpoint Enterprises 027,EdTech,201-500,Europe,500000.0,0.368,236687.75,2022-02-08,True
C0028,Indigo Global 028,HealthTech,1-10,Middle East & Africa,50000000.0,0.202,17231.35,2022-02-17,False
C0029,Indigo Analytics 029,EdTech,201-500,Latin America,1000000.0,0.186,114736.18,2022-07-25,False
C0030,Nova Intelligence 030,FinTech,201-500,APAC,50000000.0,0.284,394713.38,2022-05-27,True
C0031,Ember Global 031,CyberSecurity,11-50,Europe,500000.0,0.1,116673.44,2022-01-30,True
C0032,Redpoint Systems 032,LegalTech,1-10,North America,5000000.0,0.208,243626.37,2022-09-29,True
C0033,Bluewave Technologies 033,EdTech,1-10,Middle East & Africa,,0.31,340854.15,2022-05-01,True
C0034,Horizon Analytics 034,FinTech,501-1000,North America,1000000.0,0.044,332112.85,2022-10-17,True
C0035,Pinnacle Digital 035,LegalTech,11-50,APAC,1000000.0,0.125,74130.36,2022-11-27,True
C0036,Stratos Technologies 036,FinTech,201-500,Middle East & Africa,5000000.0,0.211,498087.26,2022-02-07,True
C0037,Bluewave Consulting 037,EdTech,51-200,North America,100000.0,0.358,191068.27,2022-03-22,True
C0038,Redpoint Dynamics 038,FinTech,1000+,Middle East & Africa,500000.0,0.652,466560.46,2022-02-23,False
C0039,Atlas Consulting 039,HealthTech,1-10,Middle East & Africa,100000.0,0.162,143450.62,2022-11-06,True
C0040,Stratos Digital 040,HRTech,501-1000,Latin America,500000.0,0.069,453614.88,2022-01-27,True
C0041,Lumex Consulting 041,FinTech,1-10,APAC,50000000.0,0.077,74101.63,2022-05-15,True
C0042,Crestline Global 042,PropTech,501-1000,North America,,0.174,46869.49,2022-12-20,False
C0043,Redpoint Systems 043,LegalTech,501-1000,Middle East & Africa,100000.0,0.543,220595.49,2022-01-22,True
C0044,Glacier Systems 044,LegalTech,11-50,Europe,10000000.0,0.062,60368.87,2022-10-14,False
C0045,Lumex Data 045,EdTech,11-50,Europe,50000000.0,0.236,407278.14,2022-07-31,True
C0046,Ember Networks 046,PropTech,1000+,Europe,500000.0,0.313,88006.94,2022-12-26,True
C0047,Indigo Systems 047,CyberSecurity,11-50,Europe,50000000.0,0.153,460041.43,2022-06-29,True
