deal_id,company_id,rep_id,deal_name,product,deal_value,stage,probability,created_date,close_date,expected_close_date,loss_reason,deal_velocity_days,weighted_value
D00001,C0335,R003,PipelineIQ Starter — Deal 0001,PipelineIQ Starter,11457.72,Closed Lost,0,2023-03-19,2023-04-24,,Project cancelled,36.0,0.0
D00002,C0135,R001,PipelineIQ Starter — Deal 0002,PipelineIQ Starter,7974.7,Prospecting,10,2023-11-06,,2023-11-25,,,797.47
D00003,C0326,R002,PipelineIQ Pro — Deal 0003,PipelineIQ Pro,47554.4,Closed Won,100,2023-05-04,2023-08-30,,,118.0,47554.4
D00004,C0058,R004,PipelineIQ Enterprise — Deal 0004,PipelineIQ Enterprise,240485.0,Negotiation,75,2023-06-28,,2023-06-30,,,180363.75
D00005,C0140,R005,PipelineIQ Starter — Deal 0005,PipelineIQ Starter,12248.09,Proposal,50,2024-12-12,,2025-02-22,,,6124.05
D00006,C0111,R001,PipelineIQ Pro — Deal 0006,PipelineIQ Pro,15789.56,Proposal,50,2024-12-09,,2024-12-29,,,7894.78
D00007,C0426,R001,PipelineIQ Starter — Deal 0007,PipelineIQ Starter,8975.39,Qualification,25,2024-05-24,,2024-07-19,,,2243.85
D00008,C0492,R005,PipelineIQ Pro — Deal 0008,PipelineIQ Pro,29434.85,Closed Lost,0,2023-02-15,2023-05-11,,Price too high,85.0,0.0
D00009,C0344,R002,PipelineIQ Pro — Deal 0009,PipelineIQ Pro,39846.56,Negotiation,75,2023-10-01,,2023-10-05,,,29884.92
D00010,C0023,R004,PipelineIQ Pro — Deal 0010,PipelineIQ Pro,48711.64,Prospecting,10,2023-01-02,,2023-03-27,,,4871.16
D00011,C0147,R004,PipelineIQ Enterprise — Deal 0011,PipelineIQ Enterprise,217078.5,Qualification,25,2023-08-26,,2023-09-02,,,54269.62
D00012,C0192,R004,PipelineIQ Pro — Deal 0012,PipelineIQ Pro,18094.56,Qualification,25,2024-07-11,,2024-08-01,,,4523.64
D00013,C0377,R005,PipelineIQ Enterprise — Deal 0013,PipelineIQ Enterprise,230364.18,Negotiation,75,2023-05-30,,2023-07-11,,,172773.14
D00014,C0178,R004,PipelineIQ Enterprise — Deal 0014,PipelineIQ Enterprise,119357.55,Prospecting,10,2024-01-17,,2024-03-17,,,11935.76
D00015,C0209,R004,PipelineIQ Pro — Deal 0015,PipelineIQ Pro,20167.16,Negotiation,75,2024-11-22,,2025-01-31,,,15125.37
D00016,C0474,R003,PipelineIQ Pro — Deal 0016,PipelineIQ Pro,48648.52,Prospecting,10,2023-05-21,,2023-07-03,,,4864.85
D00017,C0456,R005,PipelineIQ Pro — Deal 0017,PipelineIQ Pro,37591.24,Proposal,50,2024-11-27,,2024-12-19,,,18795.62
D00018,C0277,R002,PipelineIQ Starter — Deal 0018,PipelineIQ Starter,8434.54,Closed Won,100,2024-09-05,2024-10-19,,,44.0,8434.54
D00019,C0423,R005,PipelineIQ Enterprise — Deal 0019,PipelineIQ Enterprise,216402.62,Prospecting,10,2023-05-23,,2023-06-19,,,21640.26
D00020,C0022,R001,PipelineIQ Enterprise — Deal 0020,PipelineIQ Enterprise,129270.04,Closed Won,100,2024-05-28,2024-08-06,,,70.0,129270.04
D00021,C0379,R005,PipelineIQ Enterprise — Deal 0021,PipelineIQ Enterprise,70763.06,Prospecting,10,2024-11-11,,2024-12-03,,,7076.31
D00022,C0375,R004,PipelineIQ Starter — Deal 0022,PipelineIQ Starter,11840.11,Negotiation,75,2023-04-30,,2023-06-11,,,8880.08
D00023,C0180,R004,PipelineIQ Pro — Deal 0023,PipelineIQ Pro,34195.77,Qualification,25,2023-08-13,,2023-10-26,,,8548.94
D00024,C0330,R001,PipelineIQ Enterprise — Deal 0024,PipelineIQ Enterprise,131599.69,Negotiation,75,2023-08-20,,2023-11-10,,,98699.77
D00025,C0410,R002,PipelineIQ Pro — Deal 0025,PipelineIQ Pro,20449.54,Negotiation,75,2023-01-01,,2023-03-07,,,15337.16
D00026,C0208,R003,PipelineIQ Starter — Deal 0026,PipelineIQ Starter,9952.03,Closed Won,100,2023-09-05,2023-12-11,,,97.0,9952.03
D00027,C0009,R001,PipelineIQ Pro — Deal 0027,PipelineIQ Pro,43883.12,Proposal,50,2023-07-15,,2023-07-19,,,21941.56
D00028,C0232,R001,PipelineIQ Starter — Deal 0028,PipelineIQ Starter,7957.84,Qualification,25,2023-03-10,,2023-04-12,,,1989.46
D00029,C0306,R004,PipelineIQ Starter — Deal 0029,PipelineIQ Starter,9219.18,Qualification,25,2023-01-11,,2023-04-11,,,2304.8
D00030,C0302,R003,PipelineIQ Pro — Deal 0030,PipelineIQ Pro,27010.94,Qualification,25,2024-03-14,,2024-06-02,,,6752.73
D00031,C0164,R004,PipelineIQ Pro — Deal 0031,PipelineIQ Pro,37232.69,Proposal,50,2023-02-02,,2023-04-07,,,18616.35
D00032,C0217,R004,PipelineIQ Pro — Deal 0032,PipelineIQ Pro,16086.41,Negotiation,75,2024-07-05,,2024-07-18,,,12064.81
D00033,C0020,R004,PipelineIQ Enterprise — Deal 0033,PipelineIQ Enterprise,167424.94,Closed Won,100,2023-01-28,2023-03-18,,,49.0,167424.94
D00034,C0043,R003,PipelineIQ Pro — Deal 0034,PipelineIQ Pro,41566.73,Prospecting,10,2024-07-10,,2024-07-22,,,4156.67
D00035,C0384,R001,PipelineIQ Starter — Deal 0035,PipelineIQ Starter,12242.79,Negotiation,75,2024-04-10,,2024-05-29,,,9182.09
D00036,C0398,R001,PipelineIQ Pro — Deal 0036,PipelineIQ Pro,23448.25,Closed Lost,0,2023-11-27,2024-01-06,,Poor fit,40.0,0.0
D00037,C0351,R004,PipelineIQ Enterprise — Deal 0037,PipelineIQ Enterprise,220928.44,Qualification,25,2023-04-08,,2023-04-10,,,55232.11
D00038,C0036,R001,PipelineIQ Starter — Deal 0038,PipelineIQ Starter,10934.29,Negotiation,75,2024-06-02,,2024-07-29,,,8200.72
D00039,C0335,R005,PipelineIQ Enterprise — Deal 0039,PipelineIQ Enterprise,86246.66,Qualification,25,2024-02-02,,2024-04-11,,,21561.67
D00040,C0462,R005,PipelineIQ Enterprise — Deal 0040,PipelineIQ Enterprise,59742.98,Proposal,50,2024-05-17,,2024-06-09,,,29871.49
D00041,C0219,R003,PipelineIQ Pro — Deal 0041,PipelineIQ Pro,25268.63,Prospecting,10,2024-09-07,,2024-10-20,,,2526.86
D00042,C0128,R001,PipelineIQ Starter — Deal 0042,PipelineIQ Starter,11868.07,Closed Lost,0,2023-07-23,2023-09-23,,Project cancelled,62.0,0.0
D00043,C0155,R002,PipelineIQ Starter — Deal 0043,PipelineIQ Starter,8873.04,Negotiation,75,2024-01-21,,2024-01-27,,,6654.78
D00044,C0366,R005,PipelineIQ Starter — Deal 0044,PipelineIQ Starter,7234.23,Closed Won,100,2024-05-20,2024-06-19,,,30.0,7234.23
D00045,C0068,R001,PipelineIQ Pro — Deal 0045,PipelineIQ Pro,43294.65,Closed Lost,0,2023-04-14,2023-05-06,,Chose competitor,22.0,0.0
D00046,C0188,R001,PipelineIQ Enterprise — Deal 0046,PipelineIQ Enterprise,245759.39,Proposal,50,2024-03-24,,2024-05-27,,,122879.7
D00047,C0055,R003,PipelineIQ Enterprise — Deal 0047,PipelineIQ Enterprise,135994.69,Negotiation,75,2024-10-12,,2024-12-21,,,101996.02
D00048,C0035,R005,PipelineIQ Pro — Deal 0048,PipelineIQ Pro,31578.03,Qualification,25,2024-12-19,,2025-02-12,,,7894.51
